Relation,relation_text,document
Version_of,"B-Version of 18.0, B-Application of SPSS",23.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",23.0
Version_of,"B-Version of 3.3, B-Application of Fragstats",24.0
Abbreviation_of,"B-Abbreviation of GME, B-Application of geo - spatial modeling environment",24.0
Citation_of,"B-Citation of [41], B-Application of geo - spatial modeling environment",24.0
Version_of,"B-Version of 0.5.8 beta, B-Application of geo - spatial modeling environment",24.0
Citation_of,"B-Citation of [42], B-Application of Fragstats",24.0
Citation_of,"B-Citation of [34], B-Application of PHASE",25.0
Version_of,"B-Version of 2.1, B-Application of PHASE",25.0
Version_of,"B-Version of 14, B-ProgrammingEnvironment of C + +",26.0
License_of,"B-License of MIT license, B-Application of Strawberry",26.0
URL_of,"B-URL of https://github.com/ruolin/strawberry, B-Application of Strawberry",26.0
Developer_of,"B-Developer of Wellcome Trust Centre for Neuroimaging, B-Application of SPM",27.0
Version_of,"B-Version of 8, B-Application of SPM",27.0
Version_of,"B-Version of 2, B-Application of V - Phaser - Phaser",28.0
URL_of,"B-URL of http://www.broadinstitute.org/scientific-community/science/projects/viral-genomics/v-phaser-2, B-Application of V - Phaser",28.0
Version_of,"B-Version of 2, B-Application of V - Phaser",28.0
Version_of,"B-Version of 4.0.8, B-Application of Inquisit",29.0
Citation_of,"B-Citation of [65], B-Application of Inquisit",29.0
Version_of,"B-Version of 20, B-Application of SPSS",30.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",30.0
Developer_of,"B-Developer of MathWorks, B-ProgrammingEnvironment of Matlab",31.0
Developer_of,"B-Developer of FIL, B-Application of Cogent",31.0
License_of,"B-License of Artistic License, B-Application of ASPASIA",32.0
Version_of,"B-Version of 2.0, B-License of Artistic License",32.0
Citation_of,"B-Citation of [25], B-PlugIn of Vegan",33.0
PlugIn_of,"B-PlugIn of Vegan, B-ProgrammingEnvironment of R",33.0
Citation_of,"B-Citation of [43], B-Application of MuPeXI",34.0
Citation_of,"B-Citation of [44], B-Application of NetMHCpan",34.0
Version_of,"B-Version of 16, B-Application of Presentation",35.0
Developer_of,"B-Developer of Neurobehavioral Systems Inc ., B-Application of Presentation",35.0
Version_of,"B-Version of 18.0, B-Application of SPSS",36.0
Developer_of,"B-Developer of SPSS , Inc ., B-Application of SPSS",36.0
Version_of,"B-Version of 20.0, B-Application of SPSS",37.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",37.0
Release_of,"B-Release of 2012, B-Application of SPSS",37.0
Specification_of,"B-Application of GIS, B-Application of geographic information system",38.0
Version_of,"B-Version of 10, B-Application of GIS",38.0
Version_of,"B-Version of 4, B-Application of Prism",39.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",39.0
Version_of,"B-Version of 2.5, B-Application of SNPTEST",40.0
Citation_of,"B-Citation of [65], B-Application of SNPTEST",40.0
PlugIn_of,"B-PlugIn of T - LoCoH, B-ProgrammingEnvironment of R",41.0
Citation_of,"B-Citation of [101], B-PlugIn of T - LoCoH",41.0
Version_of,"B-Version of 3.1.2, B-ProgrammingEnvironment of R",41.0
Citation_of,"B-Citation of [103], B-ProgrammingEnvironment of R",41.0
Version_of,"B-Version of 3, B-License of GNU LGPL",42.0
URL_of,"B-URL of mosaic.mpi - cbg.de, B-Application of pSSAlib",42.0
License_of,"B-License of GNU LGPL, B-Application of pSSAlib",42.0
Citation_of,"B-Citation of Kosakovsky Pond et al . 2005 ; Delport et al . 2010, B-Application of HyPhy",43.0
Citation_of,"B-Citation of [67], B-Application of PEDSTATS",44.0
Citation_of,"B-Citation of [66], B-Application of PLINK",44.0
Citation_of,"B-Citation of [37], B-Application of MLwiN",45.0
Version_of,"B-Version of 2.27, B-Application of MLwiN",45.0
URL_of,"B-URL of http://www.pristionchus.org/3CPrimerDesign/, B-Application of 3C Primer Design",46.0
PlugIn_of,"B-PlugIn of clam, B-ProgrammingEnvironment of R",47.0
Citation_of,"B-Citation of [53], B-PlugIn of clam",47.0
Version_of,"B-Version of 4.5.1.6, B-Application of NETWORK",48.0
Citation_of,"B-Citation of [42], B-Application of NETWORK",48.0
Version_of,"B-Version of 2.2.027, B-Application of Comprehensive Meta - Analysis",49.0
Developer_of,"B-Developer of Biostat, B-Application of Comprehensive Meta - Analysis",49.0
Version_of,"B-Version of 9.3, B-Application of SAS Meta - Analysis",49.0
Developer_of,"B-Developer of SAS Institute Inc ., B-Application of SAS Meta - Analysis",49.0
Citation_of,"B-Citation of [20], B-Application of ISC - toolbox",50.0
URL_of,"B-URL of www.nitrc.org/projects/isc-toolbox/, B-Application of ISC - toolbox",50.0
Citation_of,"B-Citation of [63,85], B-Application of Mindboggle",51.0
Version_of,"B-Version of 4.3, B-Application of Scan",52.0
Developer_of,"B-Developer of Compumedics Neuroscan, B-Application of Scan",52.0
no_relation,"B-Application of O, B-Application of O",53.0
Version_of,"B-Version of 5, B-Application of MEGA",54.0
Citation_of,"B-Citation of [4], B-Application of MEGA",54.0
Specification_of,"B-Application of E - prime, B-Application of E - prime - prime",55.0
Developer_of,"B-Developer of Psychology Software Tools Inc ., B-Application of E - prime",55.0
License_of,"B-License of GNU GPLv, B-SoftwareCoreference of source code - compiled binaries",56.0
Version_of,"B-Version of 3, B-License of GNU GPLv",56.0
URL_of,"B-URL of https://github.com/i-git/FIMTrack, B-SoftwareCoreference of source code - compiled binaries",56.0
URL_of,"B-URL of http://fim.uni-muenster.de, B-SoftwareCoreference of pre - compiled binaries",56.0
URL_of,"B-URL of www.wsl.ch, B-Developer of WSL",57.0
Developer_of,"B-Developer of WSL, B-Application of Fire Weather Indices Calculator",57.0
no_relation,"O of O, O of O",58.0
Abbreviation_of,"B-Abbreviation of SAS, B-Application of Statistical Analysis System",59.0
Version_of,"B-Version of 8.2, B-Application of Statistical Analysis System",59.0
Developer_of,"B-Developer of SAS Institute Inc ., B-Application of Statistical Analysis System",59.0
Version_of,"B-Version of 3.5, B-Application of RT 2 Profiler PCR Array Data analysis",60.0
Developer_of,"B-Developer of Qiagen, B-Application of RT 2 Profiler PCR Array Data analysis",60.0
URL_of,"B-URL of sabiociences.com, B-Application of RT 2 Profiler PCR Array Data analysis",60.0
Developer_of,"B-Developer of IBM Inc ., B-Application of SPSS Statistics",61.0
Developer_of,"B-Developer of IBM Inc ., B-Application of SPSS Statistics",61.0
Version_of,"B-Version of 20, B-Application of SPSS Statistics",61.0
Version_of,"B-Version of 23, B-Application of SPSS",62.0
Developer_of,"B-Developer of IBM Corp, B-Application of SPSS",62.0
Version_of,"B-Version of 15.0.1, B-Application of SPSS",63.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",63.0
Release_of,"B-Release of 2006, B-Application of SPSS",63.0
Version_of,"B-Version of 24.0.0.0, B-Application of SPSS Statistics",64.0
Developer_of,"B-Developer of IBM Corp ., B-Application of SPSS Statistics",64.0
Developer_of,"B-Developer of UCSC, B-Application of Xena",65.0
URL_of,"B-URL of https://xenabrowser.net/hub/, B-Application of Xena",65.0
URL_of,"B-URL of http://repitools.r-forge.r-project.org/, B-SoftwareCoreference of package",66.0
License_of,"B-License of LGPL, B-SoftwareCoreference of package",66.0
Developer_of,"B-Developer of Adobe Systems Team Ltd ., B-Application of Photoshop",67.0
Developer_of,"B-Developer of Adobe Systems Team Ltd ., B-Application of Photoshop",67.0
Developer_of,"B-Developer of Pixelmator Team Ltd ., B-Application of Pixelmator",67.0
URL_of,"B-URL of http://www.diva-gis.org/, B-Application of DIVA - GIS",68.0
Version_of,"B-Version of 1.8.0, B-Application of QGIS",68.0
Version_of,"B-Version of 3.2, B-Application of ArcView",68.0
Developer_of,"B-Developer of StatSoft , Inc ., B-Application of STATISTICA",69.0
Version_of,"B-Version of 6.0, B-Application of STATISTICA",69.0
URL_of,"B-URL of https://github.com/esander91/SignedGroupModel, B-SoftwareCoreference of Code",70.0
Version_of,"B-Version of 3.1.80, B-Application of EpiData Analysis",71.0
Version_of,"B-Version of 12, B-Application of Stata",71.0
Version_of,"B-Version of 10.0, B-Application of ArcGIS",72.0
Developer_of,"B-Developer of Environmental Systems Research Institute, B-Application of ArcGIS",72.0
URL_of,"B-URL of http://bioinfo.ut.ee/primer3-0.4.0/, B-Application of Primer",73.0
Version_of,"B-Version of 3, B-Application of Primer",73.0
Developer_of,"B-Developer of NCBI, B-Application of Blast",73.0
URL_of,"B-URL of https://blast.ncbi.nlm.nih.gov/Blast.cgi, B-Application of Blast",73.0
URL_of,"B-URL of www.broadinstitute.org/rna-seqc/, B-SoftwareCoreference of implementation",74.0
URL_of,"B-URL of www.genepattern.org, B-SoftwareCoreference of implementation",74.0
no_relation,"O of O, O of O",75.0
Developer_of,"B-Developer of Neurobehavioural systems, B-Application of Presentation",76.0
URL_of,"B-URL of www.neurobs.com, B-Developer of Neurobehavioural systems",76.0
Version_of,"B-Version of 18.0, B-Application of PASW",77.0
Specification_of,"B-Application of PASW, B-Application of SPSS",77.0
PlugIn_of,"B-PlugIn of scPipe, B-ProgrammingEnvironment of R",78.0
Citation_of,"B-Citation of [14], B-PlugIn of Bioconductor",78.0
Citation_of,"B-Citation of [13], B-ProgrammingEnvironment of R",78.0
PlugIn_of,"B-PlugIn of Bioconductor, B-ProgrammingEnvironment of R",78.0
no_relation,"O of O, O of O",79.0
URL_of,"B-URL of https://github.com/christbald/magpie, B-Application of MAGPIE",80.0
Developer_of,"B-Developer of StataCorp, B-Application of STATA",81.0
Version_of,"B-Version of 14, B-Application of STATA",81.0
Extension_of,"B-Extension of PASW, B-Application of SPSS",82.0
Version_of,"B-Version of 18, B-Application of SPSS",82.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",83.0
Version_of,"B-Version of 22, B-Application of SPSS",83.0
Developer_of,"B-Developer of Wayne Rasband, B-Application of ImageJ",84.0
Developer_of,"B-Developer of NIH, B-Application of ImageJ",84.0
Version_of,"B-Version of 1.9, B-Application of PLINK",85.0
Citation_of,"B-Citation of [29], B-Application of PLINK",85.0
Citation_of,"B-Citation of Farrugia , 1997 , 2009, B-Application of ORTEP",86.0
Version_of,"B-Version of 97, B-Application of SHELXL",86.0
Version_of,"B-Version of 3, B-Application of ORTEP",86.0
Citation_of,"B-Citation of Sheldrick , 2008 , 1997 , 2009, B-Application of SHELXL",86.0
Citation_of,"B-Citation of Spek , 2009, B-Application of PLATON",86.0
Version_of,"B-Version of 97, B-Application of SHELXL",86.0
Citation_of,"B-Citation of Sheldrick , 2008 , 2008 , 1997 , 2009, B-Application of SHELXS",86.0
Citation_of,"B-Citation of Rigaku , 2005 , 2008 , 2008 , 1997 , 2009, B-Application of CrystalClear",86.0
Version_of,"B-Version of 97, B-Application of SHELXS",86.0
Developer_of,"B-Developer of StatsSols, B-Application of NQuery Advisor",87.0
Version_of,"B-Version of 3.0, B-Application of NQuery Advisor",87.0
Version_of,"B-Version of 5.0, B-Application of Prism",88.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",88.0
Version_of,"B-Version of 0.17, B-PlugIn of Scikit - learn",89.0
Citation_of,"B-Citation of [34], B-PlugIn of Scikit - learn",89.0
URL_of,"B-URL of http://www.ebi.ac.uk/interpro/, B-Application of InterPro",90.0
Citation_of,"B-Citation of [50], B-ProgrammingEnvironment of R",91.0
PlugIn_of,"B-PlugIn of sensitivity, B-ProgrammingEnvironment of R",91.0
Version_of,"B-Version of 14, B-Application of STATA",92.0
Version_of,"B-Version of 9.3, B-Application of SAS",92.0
Citation_of,"B-Citation of [49-51], B-PlugIn of Psychophysics toolbox",93.0
Developer_of,"B-Developer of The MathWorks Inc ., B-ProgrammingEnvironment of MATLAB",93.0
PlugIn_of,"B-PlugIn of Psychophysics toolbox, B-ProgrammingEnvironment of MATLAB",93.0
URL_of,"B-URL of http://andestools.sourceforge.net/, B-Application of ANDES",94.0
License_of,"B-License of GNU GPL, B-Application of ANDES",94.0
URL_of,"B-URL of https://sourceforge.net/projects/andestools, B-Application of ANDES",94.0
Version_of,"B-Version of 3, B-Application of ANDES",94.0
Citation_of,"B-Citation of [ 62 , 63 ], B-ProgrammingEnvironment of R",95.0
PlugIn_of,"B-PlugIn of rioja, B-ProgrammingEnvironment of R",95.0
Citation_of,"B-Citation of [ 62 , 63 ], B-PlugIn of rioja",95.0
Version_of,"B-Version of 5.3, B-Application of Review Manager",96.0
Developer_of,"B-Developer of Cochrane Collaboration, B-Application of Review Manager",96.0
Extension_of,"B-Extension of SE, B-Application of STATA",97.0
Version_of,"B-Version of 13, B-Application of STATA",97.0
Citation_of,"B-Citation of [28], B-Application of STATA",97.0
Developer_of,"B-Developer of The Epidata Association, B-Application of Epidata",98.0
Version_of,"B-Version of 3.1, B-Application of Epidata",98.0
Citation_of,"B-Citation of [70-72], B-Application of MORGAN",99.0
Version_of,"B-Version of 3.2, B-Application of MORGAN",99.0
no_relation,"O of O, O of O",100.0
URL_of,"B-URL of http://sailing.cs.cmu.edu/Drosophila_ISH_images/, B-Application of GINI",101.0
no_relation,"O of O, O of O",102.0
Citation_of,"B-Citation of [41], B-Application of Stata",103.0
Version_of,"B-Version of 13, B-Application of Stata",103.0
Developer_of,"B-Developer of SPSS , Inc ., B-Application of SPSS",104.0
Version_of,"B-Version of 18.0, B-Application of SPSS",104.0
Version_of,"B-Version of 10.0, B-Application of SPSS",105.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",105.0
Developer_of,"B-Developer of Biodiscovery , Inc ., B-Application of ImaGene",106.0
Developer_of,"B-Developer of Axon Instrument , Inc ., B-Application of GenePix",106.0
Citation_of,"B-Citation of [32], B-PlugIn of ggplot 2",107.0
PlugIn_of,"B-PlugIn of ggplot 2, B-ProgrammingEnvironment of R",107.0
Developer_of,"B-Developer of GraphPad Software Inc ., B-Application of Instat",108.0
Developer_of,"B-Developer of GraphPad Software Inc ., B-Application of Instat",108.0
Version_of,"B-Version of 5.0 d, B-Application of Prism",109.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",109.0
Citation_of,"B-Citation of [30], B-Application of Stata",110.0
Version_of,"B-Version of 13.1, B-Application of Stata",110.0
Citation_of,"B-Citation of [20], B-Application of ImageJ",111.0
Version_of,"B-Version of 3, B-License of GPL",112.0
License_of,"B-License of GPL, B-PlugIn of sourceR",112.0
Developer_of,"B-Developer of Microsoft, B-Application of Excel Package for Social Sciences",113.0
Abbreviation_of,"B-Abbreviation of SPSS, B-Application of Statistical Package for Social Sciences",113.0
Version_of,"B-Version of 16, B-Application of Statistical Package for Social Sciences",113.0
Developer_of,"B-Developer of SAS Institute Inc, B-Application of SAS",114.0
Version_of,"B-Version of 9.3, B-Application of SAS",114.0
no_relation,"O of O, O of O",115.0
Version_of,"B-Version of 4.0, B-PlugIn of HGF",116.0
PlugIn_of,"B-PlugIn of HGF, B-Application of TAPAS",116.0
URL_of,"B-URL of http://www.translationalneuromodeling.org/tapas/, B-Application of TAPAS",116.0
URL_of,"B-URL of http://sites.google.com/site/neuromapsoftware, B-Application of NeuroMap",117.0
License_of,"B-License of GNU GPL, B-Application of NeuroMap",117.0
Citation_of,"B-Citation of [48], B-Application of Stata",118.0
Version_of,"B-Version of 7, B-Application of Mplus",118.0
Version_of,"B-Version of 13, B-Application of Stata",118.0
Citation_of,"B-Citation of [46], B-Application of Mplus",118.0
Version_of,"B-Version of 5, B-Application of MEGA",119.0
Citation_of,"B-Citation of [34], B-Application of MEGA",119.0
Developer_of,"B-Developer of NCBI, B-Application of BLAST",119.0
Citation_of,"B-Citation of [18], B-Application of MEGA",120.0
Version_of,"B-Version of 6.0, B-Application of MEGA",120.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",121.0
Version_of,"B-Version of 20, B-Application of SPSS Statistics",121.0
Version_of,"B-Version of 21, B-Application of SPSS",122.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",122.0
License_of,"B-License of BSD license, B-Application of PhysiCell",123.0
URL_of,"B-URL of http://PhysiCell.sf.net, B-Application of PhysiCell",123.0
URL_of,"B-URL of http://PhysiCell.MathCancer.org, B-Application of PhysiCell",123.0
Version_of,"B-Version of 0.3.12, B-Application of Ctrax",124.0
Version_of,"B-Version of 7.10.0, B-ProgrammingEnvironment of MATLAB",124.0
Specification_of,"B-ProgrammingEnvironment of MATLAB, B-ProgrammingEnvironment of MATLAB",124.0
Release_of,"B-Release of 2010, B-ProgrammingEnvironment of MATLAB",124.0
PlugIn_of,"B-PlugIn of FixErrors, B-ProgrammingEnvironment of MATLAB",124.0
Developer_of,"B-Developer of MathWorks , Inc ., B-ProgrammingEnvironment of MATLAB",124.0
AlternativeName_of,"B-AlternativeName of Caltech Multiple Fly Tracker, B-Application of Ctrax",124.0
Version_of,"B-Version of 7.10.0, B-ProgrammingEnvironment of MATLAB",124.0
Citation_of,"B-Citation of [34-35], B-ProgrammingEnvironment of MATLAB",124.0
Citation_of,"B-Citation of [34-35], B-Application of Ctrax",124.0
Version_of,"B-Version of 2.0.6.5, B-Application of OOIBase",125.0
Developer_of,"B-Developer of Optics Optics , Inc ., B-Application of OOIBase",125.0
Extension_of,"B-Extension of 32, B-Application of OOIBase",125.0
Developer_of,"B-Developer of Ocean Optics , Inc ., B-Application of OOIBase",125.0
Release_of,"B-Release of 2002, B-Application of OOIBase",125.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",126.0
Version_of,"B-Version of 3, B-Application of LatentGold",126.0
Version_of,"B-Version of 18, B-Application of SPSS Statistics",126.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SigmaStat",127.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SigmaPlot",127.0
Developer_of,"B-Developer of SAS Institute, B-Application of SAS",128.0
Version_of,"B-Version of 9.3, B-Application of SAS",128.0
Developer_of,"B-Developer of MathWorks, B-ProgrammingEnvironment of MATLAB",129.0
Release_of,"B-Release of R 2009b, B-ProgrammingEnvironment of MATLAB",129.0
Developer_of,"B-Developer of Wellcome Department of Imaging Neuroscience, B-Application of Statistical Parametric Mapping",129.0
Version_of,"B-Version of 8, B-Application of SPM",129.0
Specification_of,"B-Application of SPM, B-Application of Statistical Parametric Mapping",129.0
Developer_of,"B-Developer of STATA Corp, B-Application of STATA",130.0
Version_of,"B-Version of 13, B-Application of STATA",130.0
Developer_of,"B-Developer of AccuScan Instruments, B-Application of Digipro",131.0
Version_of,"B-Version of 140, B-Application of Digipro",131.0
Version_of,"B-Version of 3.1, B-Application of EpiData",132.0
Version_of,"B-Version of 10.0, B-Application of Stata",132.0
Developer_of,"B-Developer of Microsoft, B-Application of Excel",133.0
Version_of,"B-Version of 2013, B-Application of Excel",133.0
Specification_of,"B-Application of Excel, B-Application of Excel",133.0
Citation_of,"B-Citation of [48], B-ProgrammingEnvironment of R",134.0
Version_of,"B-Version of 3.0.2, B-ProgrammingEnvironment of R",134.0
Version_of,"B-Version of 3.3.0, B-Application of JAGS",135.0
Version_of,"B-Version of 3.0.3, B-ProgrammingEnvironment of R",135.0
PlugIn_of,"B-PlugIn of rjags, B-ProgrammingEnvironment of R",135.0
Specification_of,"B-Application of SPSS Statistics, B-Application of SPSS Statistics",136.0
Developer_of,"B-Developer of IBM Corp ., B-Application of SPSS Statistics",136.0
Version_of,"B-Version of 22.0, B-Application of SPSS Statistics",136.0
Developer_of,"B-Developer of IBM Corp ., B-Application of SPSS Statistics",136.0
PlugIn_of,"B-PlugIn of PROCESS, B-Application of SPSS",137.0
Citation_of,"B-Citation of [29], B-PlugIn of PROCESS",137.0
Version_of,"B-Version of 15.0, B-Application of Statistical Package for Social Sciences",138.0
Developer_of,"B-Developer of GraphPad Software inc ., B-Application of Prism",138.0
Developer_of,"B-Developer of SPSS inc . Software inc ., B-Application of Statistical Package for Social Sciences",138.0
Developer_of,"B-Developer of GraphPad Software inc ., B-Application of Prism",138.0
Version_of,"B-Version of 5, B-Application of Prism",138.0
Developer_of,"B-Developer of StataCorp LP, B-Application of Stata",139.0
Version_of,"B-Version of 12.1, B-Application of Stata",139.0
Citation_of,"B-Citation of [54], B-Application of Haplotype Reference Consortium",140.0
Abbreviation_of,"B-Abbreviation of HRC, B-Application of Haplotype Reference Consortium",140.0
PlugIn_of,"B-PlugIn of Functional Annotation Tool, B-Application of DAVID",141.0
Abbreviation_of,"B-Abbreviation of FAT, B-PlugIn of Functional Annotation Tool",141.0
Extension_of,"B-Extension of SE, B-Application of Stata",142.0
Version_of,"B-Version of 14.1, B-Application of Stata",142.0
Release_of,"B-Release of 2007, B-Application of CompuSin",143.0
Developer_of,"B-Developer of ComboSyn , Inc ., B-Application of CompuSin",143.0
Citation_of,"B-Citation of [17], B-ProgrammingEnvironment of R",144.0
Version_of,"B-Version of 3.1, B-ProgrammingEnvironment of R",144.0
Release_of,"B-Release of 2009, B-Application of STATA",145.0
Version_of,"B-Version of 14, B-Application of STATA",145.0
Developer_of,"B-Developer of StataCorp, B-Application of STATA",145.0
Developer_of,"B-Developer of GraphPad Software , Inc ., B-Application of Prism",146.0
Developer_of,"B-Developer of GraphPad Software , Inc ., B-Application of Prism",146.0
Version_of,"B-Version of 5, B-Application of Prism",146.0
PlugIn_of,"B-PlugIn of BVQX, B-ProgrammingEnvironment of MATLAB",147.0
Version_of,"B-Version of 2.1, B-Application of BrainVoyager",147.0
Version_of,"B-Version of 16.0, B-Application of SPSS",148.0
Citation_of,"B-Citation of [44], B-Application of QGIS",149.0
Version_of,"B-Version of 2.14, B-Application of QGIS",149.0
Developer_of,"B-Developer of IBM Japan, B-Application of SPSS",150.0
Version_of,"B-Version of 24.0J, B-Application of SPSS",150.0
Version_of,"B-Version of 21.0, B-Application of SPSS",151.0
Developer_of,"B-Developer of IBM Corp ., B-Application of SPSS",151.0
Version_of,"B-Version of 95, B-OperatingSystem of Windows",152.0
Developer_of,"B-Developer of Analytical Software, B-Application of Satistix",152.0
Version_of,"B-Version of 1.0, B-Application of Satistix",152.0
Version_of,"B-Version of 2.2, B-Application of TopSpin",153.0
Developer_of,"B-Developer of Bruker GmbH, B-Application of TopSpin",153.0
Citation_of,"B-Citation of [42], B-PlugIn of iMap",154.0
PlugIn_of,"B-PlugIn of iMap, B-ProgrammingEnvironment of Matlab",154.0
Citation_of,"B-Citation of [47], B-PlugIn of ClueGO",155.0
Version_of,"B-Version of 2.8.3, B-Application of Cytoscape",155.0
PlugIn_of,"B-PlugIn of ClueGO, B-Application of Cytoscape",155.0
Citation_of,"B-Citation of [48], B-Application of Cytoscape",155.0
Version_of,"B-Version of 1.7.1, B-PlugIn of ClueGO",155.0
URL_of,"B-URL of www.podbat.org, B-Application of Podbat",156.0
License_of,"B-License of GNU LGPL, B-Application of Podbat",156.0
Developer_of,"B-Developer of SPSS, B-Application of Statistical Package for Social Sciences",157.0
Version_of,"B-Version of 23.0, B-Application of Statistical Package for Social Sciences",157.0
Developer_of,"B-Developer of IBM SPSS, B-Application of SPSS",158.0
Version_of,"B-Version of 20.0, B-Application of SPSS",158.0
no_relation,"O of O, O of O",159.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",160.0
Version_of,"B-Version of 22.0, B-Application of SPSS",160.0
AlternativeName_of,"B-AlternativeName of Pipeline for estimating EPIStatic genetic effects, B-Application of PEPIS",161.0
Version_of,"B-Version of 20.0.0, B-Application of SPSS",162.0
Version_of,"B-Version of 3.0.0, B-ProgrammingEnvironment of R",162.0
Citation_of,"B-Citation of [44], B-ProgrammingEnvironment of R",162.0
License_of,"B-License of GNU General Public License, B-SoftwareCoreference of package",163.0
URL_of,"B-URL of http://sites.google.com/site/neuromapsoftware, B-SoftwareCoreference of package",163.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",164.0
Version_of,"B-Version of 15.0, B-Application of Stata",164.0
Extension_of,"B-Extension of MP, B-Application of STATA",165.0
Version_of,"B-Version of 14, B-Application of STATA",165.0
Developer_of,"B-Developer of StataCorp L, B-Application of STATA",165.0
Citation_of,"B-Citation of [16], B-Application of Mach",166.0
